power p5
{
name = Eisenreich
help = @
flag = Flag1
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Elise
head = Fuererin
head2 = @
home = s001,s002,s003,s004,s005,s006,s007,s008,s009
member = s001,s002,s003,s004,s005,s006,s007,s008,s009,s077,s078,s079,s082,s083,s087
staff = er,er_mt1,er_ar1,er_ca1
merce = er_ht1,er_mt1,er_ar1,er_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p4*50,p3*0,p2*0,p1*0
league = p4*-1,p1*4
enemy_power = @
}


power p4
{
name = Regno di Carizia
help = @
flag = Flag2
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Maria
head = La Duce
head2 = @
home = s010,s011,s012,s013,s014,s015,s016,s017,s018
member = s010,s011,s012,s013,s014,s015,s016,s017,s018,s101,s107,s116
staff = car,ar_mt1,ar_ar1,ar_ca1
merce = ar_ht1,ar_mt1,ar_ar1,ar_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p5*50,p3*0,p2*0,p1*0
league = p5*-1,p3*4,p2*4
enemy_power = @
}


power p3
{
name = Kingdom of Avalon
help = @
flag = Flag3
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Rachel
head = Prime Minister
head2 = @
home = s019,s020,s021,s022,s023,s024,s025,s026,s027,s052
member = s019,s020,s021,s022,s023,s024,s025,s026,s027,s052,s065,s114,s118,s120
staff = ava,av_mt1,av_ar1,av_ca1
merce = av_ht1,av_mt1,av_ar1,av_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p5*0,p4*0,p2*50,p1*50
league = p2*-1
enemy_power = @
}


power p2
{
name = Republique de Lysoria
help = @
flag = Flag4
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Charlotte
head = Presidente
head2 = @
home = s028,s029,s030,s031,s032,s033,s034,s035,s036
member = s028,s029,s030,s031,s032,s033,s034,s035,s036,s117
staff = lys,ly_mt1,ly_ar1,ly_ca1
merce = ly_ht1,ly_mt1,ly_ar1,ly_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p5*0,p4*0,p3*50,p1*50
league = p3*-1
enemy_power = @

fix = on
}


power p1
{
name = NARV
help = @
flag = Flag5
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Sofiya
head = Generalniy Sekretar
head2 = @
home = s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051
member = s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051
staff = narv,na_mt1,na_ar1,na_ca1
merce = na_ht1,na_mt1,na_ar1,na_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p5*0,p4*0,p3*50,p2*50
league = p5*4
enemy_power = @
}


power p6
{
name = Federation of Orvane
help = @
flag = Flag6
bgm = @
volume = 50

diff = í≤êÆíÜ
money = 100000
master = Noelle
head = SCAEF
head2 = @
home = s121,s122,s123,s124,s125
member = s121,s122,s123,s124,s125
staff = orv,orv_mt1,orv_ar1,orv_ca1
merce = orv_ht1,orv_mt1,orv_ar1,orv_ca1
text = 
Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;

diplo = p5*0,p4*0,p3*100,p2*100,p1*50
league = p3*-1,p2*-1,p1*-1
}
